Core,CoreID,water,depth,solvent,extract
s01_1FW_0-10_MeOH,s01,1FW,0-10,MeOH,FW
s02_2FW_0-10_MeOH,s02,2FW,0-10,MeOH,FW
s03_3FW_0-10_MeOH,s03,3FW,0-10,MeOH,FW
s04_FW_Blk_MeOH,s04,FW,Blk,MeOH,FW
s05_1FW_40-50_MeOH,s05,1FW,40-50,MeOH,FW
s06_2FW_40-50_MeOH,s06,2FW,40-50,MeOH,FW
s07_3FW_40-50_MeOH,s07,3FW,40-50,MeOH,FW
s08_1SW_0-10_MeOH,s08,1SW,0-10,MeOH,SW
s09_2SW_0-10_MeOH,s09,2SW,0-10,MeOH,SW
s10_3SW_0-10_MeOH,s10,3SW,0-10,MeOH,SW
s11_SW_Blk_MeOH,s11,SW,Blk,MeOH,SW
s12_1SW_40-50_MeOH,s12,1SW,40-50,MeOH,SW
s13_2SW_40-50_MeOH,s13,2SW,40-50,MeOH,SW
s14_3SW_40-50_MeOH,s14,3SW,40-50,MeOH,SW
