,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.44,235.3,6.87,18634.04,Compound,None,,,27,5.11,37.9,26.75,12792.49,Impurity,None,,,53,3,147.4,19.01,29305.63,Compound,None,,,79,1.71,95,18.32,17754.52,Compound,None,,
2,8.18,21.3,205.73,55516.09,Compound,None,,,28,4.25,72,25.79,18456.79,Compound,None,,,54,2.92,20.1,18.61,3907.33,Impurity,Weak,,,80,1.69,134.8,31.35,44375.02,Compound,None,,
3,7.86,52.8,24.99,15110.3,Compound,None,,,29,4.16,98,14.33,17322.25,Compound,None,,,55,2.79,67.7,20.41,16789.04,Compound,None,,,81,1.53,70.5,25.17,16422.89,Compound,None,,
4,7.52,24.6,26.76,6299.21,Impurity,Weak,,,30,4.15,137,14.65,25974.73,Compound,None,,,56,2.74,36.3,30.9,11417.69,Impurity,None,,,82,1.46,812.2,22.13,176699.34,Compound,None,,
5,7.41,89.9,25.6,25210.04,Compound,None,,,31,4.14,104.5,8.47,10020.6,Compound,None,,,57,2.66,71.9,41.22,32013.21,Compound,None,,,83,1.32,388.3,11.59,54967.42,Compound,None,,
6,7.37,47.2,24.28,13026.21,Impurity,None,,,32,4.13,55.2,8.52,5331.07,Impurity,None,,,58,2.6,59.9,8,5499.99,Impurity,None,,,84,1.31,649.1,15.08,121337.6,Compound,None,,
7,7.32,96.7,33.27,39893.28,Compound,None,,,33,4.11,138.6,29.18,41355.6,Compound,None,,,59,2.6,72.8,8.76,7224.31,Impurity,None,,,85,1.28,272.8,43.76,136326.81,Compound,None,,
8,7.18,54.8,29.27,17973.43,Compound,None,,,34,3.86,1040.8,77.27,1041519.86,Compound,None,,,60,2.49,80.2,31.56,25805.11,Compound,None,,,86,1.24,394.4,11.78,59694.98,Compound,None,,
9,7.14,22.9,13.05,3267.76,Impurity,Weak,,,35,3.85,1108,20.35,282370.34,Compound,None,,,61,2.43,122.7,17.19,27105.62,Compound,None,,,87,1.19,884.2,8.51,86367.58,Compound,None,,
10,7.12,29,17.48,5903.45,Impurity,Weak,,,36,3.82,348.3,21.65,73865.77,Compound,None,,,62,2.42,82.7,7.7,7266.2,Compound,None,,,88,1.19,1054.4,9.33,115394.96,Compound,None,,
11,7.02,24.4,12.51,3445.99,Impurity,Weak,,,37,3.77,597,16.36,111215.57,Compound,None,,,63,2.4,198.3,12,30006.73,Compound,None,,,89,1.12,79.5,6.56,5969.41,Impurity,None,,
12,7,22.6,13.41,3219.24,Impurity,Weak,,,38,3.75,1672.3,219.97,4511178.63,Compound,None,,,64,2.4,374.5,10.74,47064.37,Compound,None,,,90,1.11,72.6,5.71,4549.9,Impurity,None,,
13,6.89,66.5,36.08,27779.5,Compound,None,,,39,3.75,1027.4,22.08,251563.19,Compound,None,,,65,2.39,228.9,9.33,23634.06,Compound,None,,,91,1.09,45.3,5.36,2729.48,Impurity,Weak,,
14,6.66,28.3,11.03,3566.97,Impurity,Weak,,,40,3.7,211.2,13.66,32921.18,Compound,None,,,66,2.36,650.8,7.51,58026.38,Compound,None,,,92,1.08,59.3,8.07,5498.23,Impurity,None,,
15,6.63,27.6,15.18,4655.99,Impurity,Weak,,,41,3.66,694.7,8.49,70110.38,Compound,None,,,67,2.34,667.1,21.88,154993.18,Compound,None,,,93,1.05,51.4,12.68,8445.34,Compound,None,,
16,6.51,41,11.12,5178.55,Impurity,Weak,,,42,3.64,1116.8,24.79,253806.35,Compound,None,,,68,2.31,155.7,9.01,16371.85,Compound,None,,,94,1.03,342.8,11.44,44096.66,Compound,None,,
17,6.46,22.7,9.36,2538.08,Impurity,Weak,,,43,3.58,909.4,45.84,511601.38,Compound,None,,,69,2.3,164.3,8.76,16595.71,Compound,None,,,95,1.03,308.9,11.36,39136.64,Compound,None,,
18,6.44,22.3,11.97,3184.1,Impurity,Weak,,,44,3.57,154.6,12.39,21574.56,Compound,None,,,70,2.29,124.2,9.68,14835.1,Compound,None,,,96,1,79,9.4,7342.67,Impurity,None,,
19,6.27,19.3,31.31,5852.61,Artifact,Weak,,,45,3.45,1314.2,49.55,803562.91,Compound,None,,,71,2.28,120.6,9.51,14078.5,Compound,None,,,97,0.98,183.6,15.1,35399.02,Compound,None,,
20,5.89,86.3,24.25,20194.84,Compound,None,,,46,3.41,267.6,18.85,65302.91,Compound,None,,,72,2.27,83.9,19.13,18084.59,Compound,None,,,98,0.95,991,52.56,600726.33,Compound,None,,
21,5.82,52.3,39.62,20192.85,Compound,None,,,47,3.4,265.9,11.82,34894.44,Compound,None,,,73,2.22,193.5,6.74,15006.5,Compound,None,,,99,0.93,226.5,16.23,47603.63,Compound,None,,
22,5.63,15.7,15.27,2928.11,Artifact,Weak,,,48,3.39,188.8,12.13,26166.48,Compound,None,,,74,2.12,327.5,27.47,100834.12,Compound,None,,,100,0.92,224.9,9.21,25235.02,Compound,None,,
23,5.55,38,11.77,5179.24,Impurity,Weak,,,49,3.35,238.4,5.46,15030.07,Compound,None,,,75,2.06,178.5,25.34,56496.93,Compound,None,,,101,0.89,41,7.23,3390.2,Impurity,Weak,,
24,5.4,455.6,21.15,114339.14,Compound,None,,,50,3.27,184.3,20.56,34764.9,Compound,None,,,76,2.04,334.8,35.33,142373.28,Compound,None,,,102,0.88,75.2,7.27,6440.24,Compound,None,,
25,5.22,249.6,16.17,46947.93,Compound,None,,,51,3.25,498.9,20.6,119761.06,Compound,None,,,77,1.91,1690.9,6.87,132701.96,Compound,None,,,103,0.88,169.9,23.41,47105.82,Compound,None,,
26,5.18,411.6,18.47,87572.18,Compound,None,,,52,3.23,277.7,28,85368.15,Compound,None,,,78,1.78,24.1,15.61,4382.18,Impurity,Weak,,,104,0.58,16.5,14.09,2260.87,Artifact,Weak,,
