,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,9.12,24.3,6.78,1789.6,Impurity,Weak,,,29,6.51,427.8,3.01,14683,Compound,None,,,57,4.98,61.1,10.16,7159.23,Compound,None,,,85,4.03,62,4.58,3156.34,Compound,None,,,113,3.73,286.5,3,9102.42,Compound,None,,,141,3.49,289.8,3.01,9459.38,Compound,None,,,169,3.12,55.7,13.59,8699.14,Compound,None,,,197,2.43,274.3,3.26,10041.8,Compound,None,,,225,2.14,100.7,4.41,5028.8,Compound,None,,,253,1.7,99.4,3.75,3981.32,Compound,None,,,281,1.06,132.5,4.68,7225.95,Compound,None,,
2,8.93,23.1,5.86,1455.97,Impurity,Weak,,,30,6.46,33.1,4.71,1379.99,Impurity,Weak,,,58,4.65,116.3,4.86,6633.63,Compound,None,,,86,4.02,86,4.12,4011.53,Compound,None,,,114,3.72,556.2,4.21,27441.76,Compound,None,,,142,3.48,780.5,3.3,28379.14,Compound,None,,,170,3.04,57.5,11.81,8798.94,Compound,None,,,198,2.42,125.8,3.71,5699.71,Compound,None,,,226,2.13,348.1,5.12,20294.8,Compound,None,,,254,1.69,104.2,4.01,4466.63,Compound,None,,,282,1.05,141.8,3.66,6261.43,Compound,None,,
3,8.82,19.2,24.98,4141.38,Artifact,Weak,,,31,6.44,31.2,4.98,1663.65,Impurity,Weak,,,59,4.64,381.5,4.13,18204.12,Compound,None,,,87,4.01,57.2,4.38,2641.9,Impurity,None,,,115,3.72,342.2,4.27,16449.58,Compound,None,,,143,3.47,663,3.54,26524.41,Compound,None,,,171,3.02,31.6,4.64,1554.26,Impurity,Weak,,,199,2.41,296.3,3,10155.06,Compound,None,,,227,2.12,298.8,6.7,23021.78,Compound,None,,,255,1.68,124.2,7.43,10236.08,Compound,None,,,283,1.04,1189.6,3.89,52063.62,Compound,None,,
4,8.44,492.9,2.92,16128.8,Compound,None,,,32,6.28,18.6,19.39,3973.76,Artifact,Weak,,,60,4.63,281.9,3.7,12139.93,Compound,None,,,88,3.98,105.6,4.58,5836.85,Compound,None,,,116,3.71,469.5,4.24,23422.9,Compound,None,,,144,3.46,1012.5,5.53,67793.43,Compound,None,,,172,3.01,166.6,4.21,7722.55,Compound,None,,,200,2.4,476.4,3.52,18541.59,Compound,None,,,228,2.11,187.8,8.31,15283.81,Compound,None,,,256,1.67,129.7,13.31,19069.16,Compound,None,,,284,1.03,1118,4.13,52553.14,Compound,None,,
5,8.18,16.7,13.88,2998.33,Artifact,Weak,,,33,6.05,21.4,6.39,1768.41,Impurity,Weak,,,61,4.58,24.8,3.83,1056.24,Impurity,Weak,,,89,3.96,309.6,4.69,15477.57,Compound,None,,,117,3.7,1148,4.21,55853.2,Compound,None,,,145,3.45,391.3,10.4,47939.61,Compound,None,,,173,3,323.1,3.7,14100.67,Compound,None,,,201,2.4,1752.9,4.03,79595.56,Compound,None,,,229,2.09,31.1,3.16,1155.12,Impurity,Weak,,,257,1.66,36.8,3.15,1297.45,Impurity,Weak,,,285,1,586.6,4.15,27685.98,Compound,None,,
6,7.86,98.8,11.9,11884.75,Compound,None,,,34,5.9,97.7,18.12,19891.96,Compound,None,,,62,4.57,22.1,3.28,786.2,Impurity,Weak,,,90,3.95,72.5,2.66,2081.15,Impurity,None,,,118,3.69,536.4,4.36,26311.59,Compound,None,,,146,3.44,1727.1,4.7,87715.57,Compound,None,,,174,2.99,150.4,3.41,5895.94,Compound,None,,,202,2.39,515.8,3.18,18986.95,Compound,None,,,230,2.07,73.2,3.7,2812.05,Compound,None,,,258,1.53,114.9,29.35,36601.97,Compound,None,,,286,0.99,543,4.04,24919.55,Compound,None,,
7,7.84,22.5,4.67,1148.06,Impurity,Weak,,,35,5.89,27.9,4.39,1022.81,Compound,Weak,,,63,4.52,69.3,7.63,6843.83,Compound,None,,,91,3.94,224.9,5.87,15777.36,Compound,None,,,119,3.68,426.2,3.83,16579.17,Compound,None,,,147,3.43,899.4,4.21,40683.72,Compound,None,,,175,2.92,35.6,3.28,1296.99,Impurity,Weak,,,203,2.38,103.1,2.66,2840.73,Compound,None,,,231,2.07,176,4.15,7730.75,Compound,None,,,259,1.47,1736.3,4.92,97816.92,Compound,None,,,287,0.98,1047.8,3.54,41112.81,Compound,None,,
8,7.83,23.9,4.52,1245.95,Impurity,Weak,,,36,5.84,52,7.19,3991.15,Compound,None,,,64,4.51,65.4,4.99,3528,Compound,None,,,92,3.92,262.2,8.22,22720.83,Compound,None,,,120,3.66,1582.1,3.06,55537.73,Compound,None,,,148,3.43,423.1,4.07,18779.94,Compound,None,,,176,2.92,46,4.77,2780.11,Impurity,None,,,204,2.36,2733.3,2.61,81576.08,Compound,None,,,232,2.06,376,4.82,20349.35,Compound,None,,,260,1.46,1679.2,4.59,87421.7,Compound,None,,,288,0.97,1022,3.56,40374.33,Compound,None,,
9,7.63,24,5.21,1247.98,Impurity,Weak,,,37,5.83,31,3.79,1088.29,Compound,None,,,65,4.45,48.4,16.14,9901.02,Compound,None,,,93,3.9,982.9,5.92,61139.94,Compound,None,,,121,3.66,357.6,3.44,14278.61,Compound,None,,,149,3.42,1040.7,5.16,59711.77,Compound,None,,,177,2.82,129.2,8.42,9512.52,Compound,None,,,205,2.35,302.6,4.16,15312,Compound,None,,,233,2.05,550.2,5.95,36849.08,Compound,None,,,261,1.45,46.3,3.92,2110.45,Impurity,None,,,289,0.96,715.2,3.83,29724.32,Compound,None,,
10,7.53,28.4,3.89,1399.14,Impurity,Weak,,,38,5.81,46.6,10.75,5418.9,Compound,None,,,66,4.43,58.7,6.1,3978.55,Compound,None,,,94,3.89,355.1,3.84,14931.55,Compound,None,,,122,3.65,1074.2,4.87,60750.82,Compound,None,,,150,3.41,679,3.74,29180.06,Compound,None,,,178,2.8,112.2,3.7,4622.51,Compound,None,,,206,2.35,551.5,4.37,27729.72,Compound,None,,,234,2.04,342.9,5.45,22368.49,Compound,None,,,262,1.32,1221.1,3.64,52004.13,Compound,None,,,290,0.95,762.6,4.51,40250.28,Compound,None,,
