,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.44,306.8,5.78,20977.86,Compound,None,,,26,3.77,1265.1,20.19,291190.35,Compound,None,,,51,2.82,54.1,16.26,9715.04,Compound,None,,,76,1.72,137.6,26.17,46644.7,Compound,None,,
2,7.86,52.4,19.18,9943.51,Compound,None,,,27,3.75,1088,20.07,249616.68,Compound,None,,,52,2.79,72.4,14.23,11871.21,Compound,None,,,77,1.69,121.1,35.35,39647.45,Compound,None,,
3,7.42,95.2,22.54,21891.35,Compound,None,,,28,3.72,608.5,39.29,309566.86,Compound,None,,,53,2.74,53.8,40.31,27837.12,Compound,None,,,78,1.53,97.4,35.22,38445.67,Compound,None,,
4,7.37,50.1,21.25,10856.24,Compound,None,,,29,3.7,216.8,9.78,25214.6,Compound,None,,,54,2.6,76.8,6.81,5849.6,Compound,None,,,79,1.47,576.5,12.52,80264.6,Compound,None,,
5,7.32,92.3,20.64,21230.63,Compound,None,,,30,3.69,98.2,6.35,6497.52,Compound,None,,,55,2.6,79.6,6.84,6019.39,Compound,None,,,80,1.46,617.9,11.01,77175.01,Compound,None,,
6,7.18,55.8,21.41,12009.81,Compound,None,,,31,3.68,118,7.71,9534.1,Compound,None,,,56,2.5,80.1,24.1,19102.86,Compound,None,,,81,1.31,623.1,35.2,284026.95,Compound,None,,
7,7.02,28.9,13.3,4545.13,Compound,None,,,32,3.66,813.4,7.41,71961.83,Compound,None,,,57,2.43,181.7,20.48,42448.66,Compound,None,,,82,1.24,1109.2,7.28,91697.34,Compound,None,,
8,6.89,69.3,25.36,17378.55,Compound,None,,,33,3.65,886.7,17.1,165536.9,Compound,None,,,58,2.41,121.7,7.49,10875.23,Compound,None,,,83,1.19,1148,7.88,106126.77,Compound,None,,
9,6.51,31.2,10.52,3494.44,Compound,None,,,34,3.64,735.5,12.34,102448.03,Compound,None,,,59,2.4,189.5,7.4,16839.43,Compound,None,,,84,1.19,1178.3,7.87,108603.63,Compound,None,,
10,5.9,89.6,24.99,24059.01,Compound,None,,,35,3.58,1145.9,66.21,968361.86,Compound,None,,,60,2.4,421.5,9.05,45060.22,Compound,None,,,85,1.17,60.4,13.32,8077.47,Compound,None,,
11,5.82,52.7,28.51,12845.53,Compound,None,,,36,3.57,79.5,8.82,7956.33,Compound,None,,,61,2.39,245.8,7.85,22158.89,Compound,None,,,86,1.12,131.4,5.94,8757.89,Compound,None,,
