,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.93,10.8,8.43,1065.61,Compound,None,,,29,5.11,41,24,11437.35,Compound,None,,,57,3.7,190.7,6.22,13431.32,Compound,None,,,85,3.22,159.4,15.32,30910.97,Compound,None,,,113,2.3,187.4,4.87,10234.71,Compound,None,,,141,1.24,222.2,5.46,13752.9,Compound,None,,
2,8.44,234.5,4.4,11469.8,Compound,None,,,30,4.64,52.5,14.93,9991.36,Compound,None,,,58,3.69,119.1,6.04,7543.51,Compound,None,,,86,3.12,39.7,15.95,7317.99,Compound,None,,,114,2.29,136.5,5.29,8360.27,Compound,None,,,142,1.19,1073,5.74,70502.48,Compound,None,,
3,8.18,18.7,150.3,36332.6,Compound,None,,,31,4.52,48.6,21.26,10451.24,Compound,None,,,59,3.68,110.6,5.67,6291.44,Compound,None,,,87,3.04,21.8,15.67,4338.31,Compound,None,,,115,2.28,128.9,5.32,7727.93,Compound,None,,,143,1.19,1151.1,5.81,76775.83,Compound,None,,
4,7.87,42.4,11.73,5644.82,Compound,None,,,32,4.45,27.1,34.45,11485.95,Compound,None,,,60,3.66,822.1,5.05,47694.09,Compound,None,,,88,3.01,59.8,8.39,5921.99,Compound,None,,,116,2.27,76.3,17.07,16515.5,Compound,None,,,144,1.17,71.4,4.23,3441.07,Compound,None,,
5,7.52,20.7,22.12,5376.26,Compound,None,,,33,4.36,33.6,37.42,15055.39,Compound,None,,,61,3.65,796.5,14.93,129605.85,Compound,None,,,89,3,112.9,6.93,9296.18,Compound,None,,,117,2.22,159.9,4.52,8203.12,Compound,None,,,145,1.16,56.9,7.79,5500.85,Compound,None,,
6,7.42,81.1,20.78,17196.83,Compound,None,,,34,4.25,81.2,22.67,18661.35,Compound,None,,,62,3.64,804.5,11.07,104942.59,Compound,None,,,90,2.99,52.4,6.37,3906.19,Compound,None,,,118,2.18,30.9,5.1,1831.62,Compound,None,,,146,1.14,15.3,6.16,986.72,Compound,None,,
7,7.37,40.4,20.27,7476.71,Compound,None,,,35,4.17,34.5,6.51,2629.65,Compound,None,,,63,3.6,88.7,7.34,5489.7,Compound,None,,,91,2.92,21.5,9.96,2779.68,Compound,None,,,119,2.17,35.8,7.67,3204.9,Compound,None,,,147,1.12,101.5,4.52,5219.85,Compound,None,,
8,7.32,83.3,21.11,19863.9,Compound,None,,,36,4.16,77.5,4.79,4088.65,Compound,None,,,64,3.58,557.6,24.73,171249.18,Compound,None,,,92,2.82,67.4,10.98,7021.23,Compound,None,,,120,2.12,192.2,34.73,72984.51,Compound,None,,,148,1.11,99.5,4.4,4825.41,Compound,None,,
9,7.18,53,19.53,9668.8,Compound,None,,,37,4.15,140.2,5.86,9421.25,Compound,None,,,65,3.57,329,18.43,77223.99,Compound,None,,,93,2.79,95,12.38,12125.2,Compound,None,,,121,2.12,88.1,17.21,13607.74,Compound,None,,,149,1.09,62.4,4.8,3258.09,Compound,None,,
10,7.02,26.3,10.89,2583.85,Compound,None,,,38,4.14,135.9,5.3,7780.63,Compound,None,,,66,3.55,135.4,7.08,11241.09,Compound,None,,,94,2.74,38.9,24.49,12340.06,Compound,None,,,122,2.06,128.9,8.11,12359.03,Compound,None,,,150,1.08,59.4,4.54,2953,Compound,None,,
11,7,23.5,12.28,2883.47,Compound,None,,,39,4.13,88.4,6.36,6238.74,Compound,None,,,67,3.54,43,3.71,1639.91,Compound,None,,,95,2.67,61.4,9.2,6866.53,Compound,None,,,123,2.05,218.1,9.79,25900.83,Compound,None,,,151,1.06,47.9,4.98,2545.32,Compound,None,,
12,6.89,61.4,23.69,14069.16,Compound,None,,,40,4.11,82.5,18.43,18725.36,Compound,None,,,68,3.53,49.2,5.62,2672.35,Compound,None,,,96,2.66,81.7,10.08,10163.92,Compound,None,,,124,2.04,154.4,10.92,21846.26,Compound,None,,,152,1.05,52.1,4.56,2719.5,Compound,None,,
13,6.66,12.9,8.11,1147.42,Compound,None,,,41,4.1,25.5,4.7,1305.66,Compound,None,,,69,3.53,47.3,3.96,2043.82,Compound,None,,,97,2.64,69.9,14.76,13354.3,Compound,None,,,125,2.03,76.4,14.08,13281.4,Compound,None,,,153,1.03,445.9,8.26,42971.82,Compound,None,,
14,6.64,12.4,8.71,1200.16,Compound,None,,,42,3.96,66.5,6.78,5032.69,Compound,None,,,70,3.52,90.9,8.45,7848.45,Compound,None,,,98,2.6,55.7,5.38,3417.3,Compound,None,,,126,2,11.5,4.45,661.11,Compound,None,,,154,1.03,365.9,7.5,30531.99,Compound,None,,
15,6.51,86.8,6.67,6993.2,Compound,None,,,43,3.94,38.6,4.8,1888.31,Compound,None,,,71,3.49,54.8,5.37,3157.44,Compound,None,,,99,2.6,62.3,5.4,3870.21,Compound,None,,,127,1.99,20.3,4.21,979.7,Compound,None,,,155,1,182.3,7.94,16536.25,Compound,None,,
16,6.46,24.5,6.71,1827.33,Compound,None,,,44,3.92,154.1,19.75,39396.66,Compound,None,,,72,3.48,165.6,5.73,9910.53,Compound,None,,,100,2.5,50.7,25.62,12187.27,Compound,None,,,128,1.98,34.8,8.86,3115.54,Compound,None,,,156,0.99,180.8,8.59,18107.75,Compound,None,,
17,6.44,25.3,8.64,2518.83,Compound,None,,,45,3.9,302,7.73,24251.22,Compound,None,,,73,3.47,123.1,5.78,7835.19,Compound,None,,,101,2.44,54.3,6.3,4058.23,Compound,None,,,129,1.91,1543.3,4.68,80972.81,Compound,None,,,157,0.98,383.3,7.49,31879.64,Compound,None,,
18,6.27,13.4,25.21,3187.29,Compound,None,,,46,3.89,218.9,8.9,21434.19,Compound,None,,,74,3.46,349.1,10.98,45018.98,Compound,None,,,102,2.43,83.2,4.8,4395.27,Compound,None,,,130,1.89,79.6,12.87,12954.17,Compound,None,,,158,0.97,348.3,6.96,26181.98,Compound,None,,
19,5.9,90.1,22.02,19650.65,Compound,None,,,47,3.86,446.2,11.73,55853.15,Compound,None,,,75,3.44,682.5,11.7,98706.7,Compound,None,,,103,2.41,146.5,6.33,11727.68,Compound,None,,,131,1.79,19,4.32,937.92,Compound,None,,,159,0.96,176.9,7.06,14584.57,Compound,None,,
20,5.83,44.1,10.23,4475.42,Compound,None,,,48,3.85,1533.3,15.53,303883.91,Compound,None,,,76,3.43,282.8,8.66,26883.49,Compound,None,,,104,2.4,182,5.24,10898.27,Compound,None,,,132,1.78,24.8,6.94,2124.02,Compound,None,,,160,0.95,483,12.1,67690.88,Compound,None,,
21,5.81,44.1,26.23,10936.3,Compound,None,,,49,3.83,603.4,37.02,284749.08,Compound,None,,,77,3.42,296.6,7.77,25603.01,Compound,None,,,105,2.4,600.7,6.97,49081.59,Compound,None,,,133,1.71,112.2,22.65,32150.41,Compound,None,,,161,0.94,148.4,7.66,14723.39,Compound,None,,
22,5.63,18.3,11.65,2171.78,Compound,None,,,50,3.81,478.2,16.66,90428.6,Compound,None,,,78,3.4,284.9,8.26,25162.47,Compound,None,,,106,2.39,250.3,6.01,16942.92,Compound,None,,,134,1.69,93.7,28.83,27694.17,Compound,None,,,162,0.93,449.3,29.84,172148.39,Compound,None,,
23,5.55,18.6,7.19,1566.35,Compound,None,,,51,3.8,90.6,5.83,5416.73,Compound,None,,,79,3.39,141.3,7.17,11771.83,Compound,None,,,107,2.36,940,5.06,56693.7,Compound,None,,,135,1.53,56.7,28.41,15780.2,Compound,None,,,163,0.92,147.5,6.28,11447.49,Compound,None,,
24,5.43,47.4,11.84,6726.28,Compound,None,,,52,3.77,1339.6,15.72,212607.11,Compound,None,,,80,3.35,132.7,3.71,5571.87,Compound,None,,,108,2.35,395.2,10.66,49751.61,Compound,None,,,136,1.47,575.2,9.18,58675.44,Compound,None,,,164,0.89,52.2,5.16,2899.27,Compound,None,,
25,5.4,485.1,14.64,78526.53,Compound,None,,,53,3.75,819.7,10.68,99884.53,Compound,None,,,81,3.28,66.2,7.42,5287.85,Compound,None,,,109,2.34,338.2,8.98,32288.25,Compound,None,,,137,1.46,636.1,9.82,70053.34,Compound,None,,,165,0.88,132.5,7.1,11198.76,Compound,None,,
26,5.26,23.4,10.95,2929.66,Compound,None,,,54,3.75,502.3,9.8,54311.53,Compound,None,,,82,3.27,177.6,10.48,23545.37,Compound,None,,,110,2.33,185.8,7.6,15975.21,Compound,None,,,138,1.32,372.9,7.19,31364.23,Compound,None,,,166,0.87,86.8,8.04,7571.92,Compound,None,,
27,5.22,296.5,11.57,35804.36,Compound,None,,,55,3.74,80.5,5.4,4905.14,Compound,None,,,83,3.25,645.1,11.93,89614.51,Compound,None,,,111,2.32,36.4,9.75,4309.19,Compound,None,,,139,1.31,558.4,10.1,68435.55,Compound,None,,,167,0.58,22.8,10.42,2715.3,Compound,None,,
28,5.18,533.8,13.3,78272.02,Compound,None,,,56,3.72,638.4,44.48,360131.28,Compound,None,,,84,3.23,163,6.5,11680.19,Compound,None,,,112,2.31,189,5.15,10952.92,Compound,None,,,140,1.26,10.6,5.62,672.4,Compound,None,,,,,,,,,,,
