,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,8.93,13,7.85,1098.84,Compound,None,,,30,5.26,29,9.25,3150.15,Compound,None,,,59,3.85,1571.2,10.65,198713.93,Compound,None,,,88,3.49,94.2,4.65,4799.06,Compound,None,,,117,2.66,66,6.33,4584.33,Compound,None,,,146,2.13,190.8,8.97,21341.2,Compound,None,,,175,1.17,85,3.64,3460.45,Compound,None,,
2,8.44,384,3.85,16644.42,Compound,None,,,31,5.23,297.4,7.43,25944.74,Compound,None,,,60,3.83,907.2,30.06,338162.29,Compound,None,,,89,3.48,286.7,5.57,17953.02,Compound,None,,,118,2.65,28.6,5.83,1906.28,Compound,None,,,147,2.12,151.3,6.79,11655.84,Compound,None,,,176,1.16,72.7,9.34,8509.75,Compound,None,,
3,8.18,19.6,156.23,39690.44,Compound,None,,,32,5.22,247.4,6.79,19195,Compound,None,,,61,3.82,202.3,9.8,23864.45,Compound,None,,,90,3.47,237,5.96,16421.92,Compound,None,,,119,2.64,64.9,12.91,10354.77,Compound,None,,,148,2.11,107.5,8.22,9731.25,Compound,None,,,177,1.14,25.4,5.64,1560.95,Compound,None,,
4,7.87,61.2,9.46,6494.93,Compound,None,,,33,5.2,63.2,13.02,8525.73,Compound,None,,,62,3.81,215.9,8.72,21480.79,Compound,None,,,91,3.46,519.5,10.34,62013.52,Compound,None,,,120,2.6,92.4,4.43,4693.92,Compound,None,,,149,2.07,64.5,5.03,3494.41,Compound,None,,,178,1.12,175.4,4.03,7943.89,Compound,None,,
5,7.63,13.9,8.34,1232.66,Compound,None,,,34,5.19,464.1,9.06,49786,Compound,None,,,63,3.78,365.3,7.25,29529.46,Compound,None,,,92,3.44,796.6,8.42,77078.84,Compound,None,,,121,2.6,97.5,4.52,4972.01,Compound,None,,,150,2.06,209.8,7.74,19345.02,Compound,None,,,179,1.11,178.5,3.99,7913.51,Compound,None,,
6,7.52,25.2,19.14,5217.43,Compound,None,,,35,5.18,325.7,7.11,27060.09,Compound,None,,,64,3.77,905.3,9.31,96272.58,Compound,None,,,93,3.43,488,9.65,51850.67,Compound,None,,,122,2.5,60.3,15.73,12054.98,Compound,None,,,151,2.05,274.8,7.1,21890.86,Compound,None,,,180,1.09,103.6,4.3,4828.56,Compound,None,,
7,7.47,13.9,4.85,772.7,Compound,None,,,36,5.11,54.2,28.7,18480.25,Compound,None,,,65,3.76,761.7,10.34,94834.15,Compound,None,,,94,3.42,506.7,7.16,38953.85,Compound,None,,,123,2.48,26.5,4.81,1361.84,Compound,None,,,152,2.04,212.4,9.98,27434.88,Compound,None,,,181,1.08,102.9,4.12,4650.09,Compound,None,,
8,7.42,110.4,17.68,19070.88,Compound,None,,,37,5.02,11.9,8.18,916.54,Compound,None,,,66,3.75,823.7,9.79,95139.64,Compound,None,,,95,3.4,528.4,8.43,47278.27,Compound,None,,,124,2.44,70.6,5.54,4462.11,Compound,None,,,153,2.03,108.4,10.73,14944.09,Compound,None,,,182,1.06,35.2,4.94,1651.94,Compound,None,,
9,7.37,56.2,20.73,10101.54,Compound,None,,,38,4.64,74,8.56,8210.38,Compound,None,,,67,3.75,527.4,9.99,61228.68,Compound,None,,,96,3.39,314.5,6.87,24609.48,Compound,None,,,125,2.43,123.2,4.75,6563.19,Compound,None,,,154,2,26.6,4.9,1486.88,Compound,None,,,183,1.06,71.8,4.87,4046.91,Compound,None,,
10,7.32,108.6,16.58,17292.05,Compound,None,,,39,4.63,37.1,5.58,2233.27,Compound,None,,,68,3.74,41.2,2.95,1251.32,Compound,None,,,97,3.38,46.3,4.5,2500.93,Compound,None,,,126,2.42,72.8,7.55,7117.41,Compound,None,,,155,1.99,35.7,5.53,2321.59,Compound,None,,,184,1.05,79.4,4.43,3933.22,Compound,None,,
