,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation,,ppm,Intensity,Width,Area,Type,Flags,Impurity/Compound,Annotation
1,10.2,133,1.4,2381.93,Impurity,None,,,27,1.32,247.8,2.81,8712.99,Compound,None,,
2,7.62,265.1,33.12,116551.9,Compound,None,,,28,1.3,233,2.67,6799.41,Compound,None,,
3,7.24,331.3,9.5,39456.25,Compound,None,,,29,1.28,276.1,3.17,12567.15,Compound,None,,
4,7.22,2531.9,4.18,134925.87,Compound,None,,,30,1.26,975,148.3,2106513.53,Compound,None,,
5,7.11,356.9,7.62,39623.1,Compound,None,,,31,1.26,465.6,8.84,38704.38,Compound,None,,
6,7.09,2547.1,4.15,135367.07,Compound,None,,,32,1.25,1592.6,4.51,97424.59,Compound,None,,
7,7.02,77.5,10.56,11925.43,Compound,None,,,33,1.23,2994.5,3.94,161719.67,Compound,None,,
8,6.99,243.4,12.45,28877.86,Compound,None,,,34,1.15,563.5,3.25,21116.65,Compound,None,,
9,6.97,2551.7,4.57,151551.31,Compound,None,,,35,1.11,719,1.33,11446.27,Compound,None,,
10,6.52,1189.4,1.96,29182.49,Compound,None,,,36,1.06,395.9,2.26,11502.95,Compound,None,,
11,5.26,164.4,8.48,17520.17,Compound,None,,,37,1.05,4689.5,3.33,175993.39,Compound,None,,
12,4.31,123.4,6.83,12027.5,Compound,None,,,38,1.03,4901.7,3.75,218001.26,Compound,None,,
13,4.02,139.8,16.3,24967.94,Compound,None,,,39,1.02,283.3,2.16,6650.97,Compound,None,,
14,3.95,373.6,10.99,51363.88,Compound,None,,,40,1,226.9,2.53,5995.77,Impurity,None,,
15,2.1,193.9,102.67,232902.54,Compound,None,,,41,0.89,283.4,3.92,15663.73,Compound,None,,
16,2.08,258.1,1.4,4475.78,Impurity,None,,,42,0.87,425.6,6.18,36778.54,Compound,None,,
17,1.91,982.4,1.31,15995.31,Compound,None,,,43,0.86,604.2,2.89,25422.86,Compound,None,,
18,1.87,231.9,37.73,83852.25,Compound,None,,,44,0.85,397.5,2.17,9765.2,Compound,None,,
19,1.65,122.9,1.96,3430.06,Impurity,None,,,45,0.85,709.4,6.94,63792.81,Compound,None,,
20,1.56,114.5,2.32,3408.85,Impurity,None,,,46,0.83,378.7,24.07,132821.92,Compound,None,,
21,1.54,401.4,3.89,18847.96,Compound,None,,,47,0.83,181.4,4.33,9871.97,Compound,None,,
22,1.52,719.9,5.57,48620.98,Compound,None,,,48,0.81,204.9,2.22,6015.9,Compound,None,,
23,1.5,791.7,5.54,55428.45,Compound,None,,,49,0.8,152.6,4.75,9862.39,Compound,None,,
24,1.49,447,3.67,22180.38,Compound,None,,,50,0.79,148.4,2.26,4813.93,Compound,None,,
25,1.35,317.4,2.77,11314.69,Compound,None,,,51,0.07,474.1,2.15,11857.22,Compound,None,,
26,1.34,179.4,2.81,7349.38,Compound,None,,,,,,,,,,,
